fold,model,n_test_samples,n_test_words,n_test_hallu,auroc,pr_auc,brier,accuracy,balanced_accuracy,majority_baseline_acc,precision,recall,f1
8,baseline_pks,3,4772,359,0.6240030878633462,0.10853597167356648,0.23751462624735753,0.6512992455993294,0.5901202259467627,0.9247694886839899,0.11091234347048301,0.5181058495821727,0.18271119842829076
9,full_logreg,3,4871,234,0.6910681272337516,0.10342141026765139,0.19183017969472682,0.7283925272018066,0.6463350346248772,0.9519605830424964,0.09636767976278725,0.5555555555555556,0.16424510423247
9,full_hgb,3,4871,234,0.7380563988284498,0.1614174190643186,0.15233708588604578,0.8018887292137138,0.6788508079752418,0.9519605830424964,0.12893401015228426,0.5427350427350427,0.20836751435602954
9,baseline_ecs,3,4871,234,0.5180672369587617,0.06896744781063113,0.24075043739824686,0.5662081708068158,0.4982540103846983,0.9519605830424964,0.04766490129995185,0.4230769230769231,0.08567719601903938
9,baseline_ecscopy,3,4871,234,0.5157337211467037,0.06934233935669619,0.2408524354624618,0.5694929172654486,0.499979263781291,0.9519605830424964,0.048034934497816595,0.4230769230769231,0.08627450980392157
9,baseline_pks,3,4871,234,0.5920692718730243,0.06286978742261193,0.24196088345588826,0.6163005543009649,0.5407955150784566,0.9519605830424964,0.0578691184424013,0.45726495726495725,0.1027364378300528
10,full_logreg,3,4542,279,0.7667459518722827,0.18418303721340296,0.18428936928281348,0.7313958608542492,0.6860759876809456,0.9385733157199472,0.13667953667953667,0.6344086021505376,0.22490470139771285
10,full_hgb,3,4542,279,0.7584727130253905,0.22410891341007164,0.14018024943845428,0.817261118450022,0.6782239777631482,0.9385733157199472,0.1724137931034483,0.5197132616487455,0.25892857142857145
10,baseline_ecs,3,4542,279,0.6586843364215047,0.12189849648595959,0.23613830142586112,0.5803610744165566,0.6022665647645784,0.9385733157199472,0.08851795649974709,0.6272401433691757,0.1551418439716312
10,baseline_ecscopy,3,4542,279,0.6654702419838285,0.1268188216567534,0.23602235441831185,0.5860854249229415,0.61871467163061,0.9385733157199472,0.09303507880020336,0.6559139784946236,0.16295636687444345
10,baseline_pks,3,4542,279,0.633651903475517,0.09854651963775336,0.2344850314010663,0.6492734478203435,0.5887330089618347,0.9385733157199472,0.09039900249376559,0.5197132616487455,0.15400955921402018
11,full_logreg,3,5025,166,0.7603118793345847,0.20335801979531137,0.1864011468183065,0.732139303482587,0.6985819383729609,0.9669651741293532,0.07857142857142857,0.6626506024096386,0.140485312899106
11,full_hgb,3,5025,166,0.8016145669320626,0.3001001835214534,0.13775807815508465,0.835820895522388,0.7289206217750194,0.9669651741293532,0.11819235225955968,0.6144578313253012,0.19825072886297376
11,baseline_ecs,3,5025,166,0.6075460516691173,0.06453976056627553,0.24778499871657117,0.5347263681592039,0.5470478332345641,0.9669651741293532,0.039440203562340966,0.5602409638554217,0.07369255150554675
11,baseline_ecscopy,3,5025,166,0.6193586860303946,0.07077409138722872,0.24654574005902158,0.5351243781094528,0.5792542468701727,0.9669651741293532,0.04373423044575273,0.6265060240963856,0.08176100628930817
11,baseline_pks,3,5025,166,0.6691854886101309,0.07387024523421594,0.23782383293749398,0.6324378109452736,0.6237549498260587,0.9669651741293532,0.05411140583554377,0.6144578313253012,0.09946367625548513
12,full_logreg,3,4776,331,0.8461872024305119,0.35338955522570364,0.16950396187599437,0.7690536013400335,0.7612847865315928,0.9306951423785594,0.19606299212598424,0.7522658610271903,0.3110555902560899
12,full_hgb,3,4776,331,0.8518216944936262,0.42451950689199924,0.13107043535479995,0.8387772194304858,0.7805674592790705,0.9306951423785594,0.25905598243688255,0.7129909365558912,0.38003220611916266
12,baseline_ecs,3,4776,331,0.6393524072330837,0.15177520908081638,0.23292125715584047,0.5963149078726968,0.5957833065428755,0.9306951423785594,0.09894525364138623,0.595166163141994,0.16968130921619293
12,baseline_ecscopy,3,4776,331,0.6359815672587754,0.1480767904945244,0.2324436729229785,0.6038525963149078,0.6026289765138875,0.9306951423785594,0.10158244002041858,0.6012084592145015,0.1737991266375546
12,baseline_pks,3,4776,331,0.6947729721096041,0.1310357570110455,0.23472486020307134,0.6578726968174204,0.6316503488423464,0.9306951423785594,0.11699000587889477,0.6012084592145015,0.19586614173228348
13,full_logreg,3,4983,247,0.7047654625779625,0.15579334099265638,0.2045310183622429,0.6851294400963275,0.6520757536382537,0.9504314669877584,0.09348093480934809,0.6153846153846154,0.1623064602242392
13,full_hgb,3,4983,247,0.7585528025495131,0.2074585068140165,0.14165994822817865,0.8157736303431667,0.6996987498632234,0.9504314669877584,0.14795383001049317,0.5708502024291497,0.235
13,baseline_ecs,3,4983,247,0.6302137474012475,0.10286349131888776,0.24096882385530705,0.5671282360024081,0.5842418994145968,0.9504314669877584,0.06748188405797101,0.6032388663967612,0.12138492871690428
13,baseline_ecscopy,3,4983,247,0.6331775221577853,0.1078081140551677,0.23772027223082454,0.5807746337547662,0.5856648019476967,0.9504314669877584,0.06841611996251172,0.5910931174089069,0.12263754724905501
13,baseline_pks,3,4983,247,0.6203658428165008,0.06742768518556048,0.23751956778704245,0.6327513546056592,0.5707967741273663,0.9504314669877584,0.06772255598033862,0.5020242914979757,0.11934552454282965
14,full_logreg,2,3356,200,0.827319391634981,0.3239168476405586,0.1757450349000982,0.7565554231227652,0.741777566539924,0.9404052443384983,0.15986769570011025,0.725,0.26196928635953026
14,full_hgb,2,3356,200,0.8459252217997465,0.37204998243886767,0.1329567224570289,0.8417759237187128,0.7543060836501901,0.9404052443384983,0.2209106239460371,0.655,0.33039092055485497
14,baseline_ecs,2,3356,200,0.6044280735107731,0.11912331500140695,0.23604267518759586,0.5884982121573301,0.5517363751584283,0.9404052443384983,0.0736462093862816,0.51,0.12870662460567822
14,baseline_ecscopy,2,3356,200,0.6061359315589354,0.12318354474817518,0.2396376114728945,0.5724076281287247,0.5642553865652725,0.9404052443384983,0.07618393960192175,0.555,0.13397706698853348
14,baseline_pks,2,3356,200,0.6721451204055768,0.10303697097764257,0.24400707895483353,0.6230631704410012,0.6263117870722433,0.9404052443384983,0.09567198177676538,0.63,0.16611733684904417
