group,layer,ecs_auroc,ecs_copy_auroc,pks_auroc,n_group,n_faithful_cmp
medication,26,0.7024530094901353,0.695420485336735,0.5943413052752938,69,40628
medication,27,0.6994283944962637,0.6970344575669238,0.577896588773645,69,40628
medication,28,0.6940804728087862,0.7015476582866389,0.5506850419429451,69,40628
medication,29,0.6954356458671325,0.7061072323934519,0.5305529277302867,69,40628
medication,30,0.7085527151261427,0.7066055679455734,0.59504582404082,69,40628
medication,31,0.6920571662578675,0.700892366655109,0.645805420121484,69,40628
name,0,0.4890346559023334,,0.45914147878310524,16,40628
name,1,0.4780846952840406,,0.5129067391946441,16,40628
name,2,0.48541184650979624,,0.5068594934527912,16,40628
name,3,0.4805137466771685,0.47489570000984543,0.6775576572806932,16,40628
name,4,0.47082061632371763,0.4643649392044895,0.6467076277444127,16,40628
name,5,0.4768478635423846,0.49599721866692925,0.5725515654228611,16,40628
name,6,0.48540415477010934,0.49610490302254606,0.5875173833316925,16,40628
name,7,0.4768832455449444,0.4698683789504775,0.5379256608742738,16,40628
name,8,0.48179672885694597,0.49464654917790685,0.4986401004233534,16,40628
name,9,0.49002689032194546,0.4843011592990056,0.4597160517377178,16,40628
name,10,0.4904899330510978,0.4934950957467756,0.49647564487545537,16,40628
name,11,0.4919021364576154,0.49931389681992716,0.534985108791966,16,40628
name,12,0.4777447203898789,0.46996990991434484,0.5610208784582063,16,40628
name,13,0.49616797528797874,0.4847457418529093,0.626526041153884,16,40628
name,14,0.5059118711233631,0.506401065767451,0.5822200822093138,16,40628
name,15,0.49780323914541696,0.4989323865314561,0.6257814807521906,16,40628
name,16,0.4891992591316333,0.48234591907059177,0.584361462538151,16,40628
name,17,0.47128058235699516,0.48099063453775726,0.6458261543762922,16,40628
name,18,0.4922144210889042,0.45919993600472575,0.5543682928029929,16,40628
name,19,0.4858964261100719,0.4988708526139608,0.5953960322929999,16,40628
name,20,0.4915867751304519,0.5086824357585901,0.5881211848971153,16,40628
name,21,0.4970186816973515,0.4983601210987496,0.618855838338092,16,40628
name,22,0.4850503347445112,0.49448656099241906,0.7297399576646648,16,40628
name,23,0.4948711479767648,0.49966925519346267,0.569848688096879,16,40628
name,24,0.4950772866003741,0.4954003396672245,0.6228186226247907,16,40628
name,25,0.4901945702471202,0.4908422147287585,0.6829018780151619,16,40628
name,26,0.4897269124741558,0.514677377670572,0.6397312198483804,16,40628
name,27,0.4985001107610515,0.521776853401595,0.6923719479176922,16,40628
name,28,0.499823089987201,0.5273210593679236,0.6158406763808212,16,40628
name,29,0.5048734862656297,0.5300900856552132,0.5830261765285025,16,40628
name,30,0.513199025302747,0.5363873129368908,0.5746775622723246,16,40628
name,31,0.4967194730235306,0.5124267746381805,0.6698474574185291,16,40628
numerical,0,0.544877277701623,,0.38057929213274666,208,40628
numerical,1,0.5617172175687855,,0.648870959114972,208,40628
numerical,2,0.5422637428904657,,0.6093449430479927,208,40628
numerical,3,0.538836244518748,0.5308167775539415,0.6131530641997561,208,40628
numerical,4,0.5475564881362607,0.5408505928082944,0.6290289332480062,208,40628
numerical,5,0.5578083937943518,0.5399637943896214,0.5932721654637576,208,40628
numerical,6,0.549980687816663,0.544254779292038,0.6449182332570943,208,40628
numerical,7,0.5606705492990813,0.560497840159496,0.6829942972258617,208,40628
numerical,8,0.5472639653592445,0.5455298922304436,0.6502681932127143,208,40628
numerical,9,0.5529454392953704,0.5530252558864293,0.7556942540574519,208,40628
numerical,10,0.5421235757264788,0.5453787199619815,0.7001708986223976,208,40628
numerical,11,0.5548041186070993,0.5570754893366454,0.719653187740929,208,40628
numerical,12,0.5593656752448103,0.5624967458024401,0.6836483317681629,208,40628
numerical,13,0.5304505324103876,0.5390957519823388,0.6992538065828038,208,40628
numerical,14,0.5260081385705955,0.5207540295249202,0.6725659548927985,208,40628
numerical,15,0.5402377978241607,0.540868224642346,0.7132197574995646,208,40628
numerical,16,0.5501779513560181,0.5343477002408343,0.706285950007952,208,40628
numerical,17,0.549489008148984,0.5377389882687953,0.71290226615218,208,40628
numerical,18,0.5439535589324529,0.5042565495755107,0.6785550392491726,208,40628
numerical,19,0.5546777374073205,0.548916979385191,0.6344743891102007,208,40628
numerical,20,0.5459861307283345,0.533012946736241,0.6250056800539227,208,40628
numerical,21,0.5506849553358426,0.5427732910611098,0.6498317757363242,208,40628
numerical,22,0.5477759985534796,0.5315256601169334,0.6572803381146763,208,40628
numerical,23,0.5493575385675662,0.5469988370089593,0.6817336802584046,208,40628
numerical,24,0.554248775001704,0.5508562444619475,0.5913959726524338,208,40628
numerical,25,0.5643550109435705,0.5499307506759263,0.682367242939693,208,40628
numerical,26,0.5628201538726607,0.5564822195378708,0.6321911849349823,208,40628
numerical,27,0.5541795493445218,0.5336669812785423,0.5963574997538643,208,40628
numerical,28,0.55451206916791,0.5444267192576548,0.6094637508425413,208,40628
numerical,29,0.5754698114600768,0.548080354776168,0.5801824811990215,208,40628
numerical,30,0.5561890459213427,0.5357774171469467,0.5976867507062201,208,40628
numerical,31,0.5502696013927492,0.546321668080369,0.566586443793973,208,40628
procedure,0,0.47948822196550134,,0.5271222029957012,139,40628
procedure,1,0.4940071276640201,,0.4858242676312824,139,40628
procedure,2,0.4904090314437433,,0.3960342408361388,139,40628
procedure,3,0.4915428492098514,0.4907594648904289,0.3935052410960864,139,40628
procedure,4,0.5065347249619818,0.5019281807988678,0.3761351458362699,139,40628
procedure,5,0.5094153091428599,0.4898299928532118,0.3823851325555682,139,40628
procedure,6,0.4975109309028115,0.49848812492784156,0.4301969864494345,139,40628
procedure,7,0.518320462267579,0.516822310587092,0.5805364765979871,139,40628
procedure,8,0.4945571257870144,0.4924755971534675,0.5674144350956175,139,40628
procedure,9,0.4975694545279401,0.4913967614920568,0.6395170464002924,139,40628
procedure,10,0.48423828624409726,0.4846191767664927,0.6849958351719727,139,40628
procedure,11,0.4992651345104875,0.5076653553597016,0.5947514313054822,139,40628
procedure,12,0.5058233220453272,0.5051707969058444,0.566701792646812,139,40628
procedure,13,0.476262782232617,0.4906649062949109,0.5370466057005729,139,40628
