group,layer,ecs_auroc,ecs_copy_auroc,pks_auroc,n_group,n_faithful_cmp
Causality,25,0.5751333225134977,0.574328792120478,0.4986508432806833,421,40628
Causality,26,0.5727252562324943,0.5711166631626925,0.5345242402125115,421,40628
Causality,27,0.5724017135252077,0.5713614249162262,0.505174286270868,421,40628
Causality,28,0.5723332515609444,0.5710662082735729,0.5087309174698329,421,40628
Causality,29,0.5721115540643722,0.5675530162201653,0.49889537117609817,421,40628
Causality,30,0.5732385748031441,0.5720407242866568,0.5309870192374027,421,40628
Causality,31,0.5770596118376173,0.5774013077813717,0.5501330418837553,421,40628
Contextual,0,0.6211259033879831,,0.5009383374963254,281,40628
Contextual,1,0.6203266632026647,,0.5073350619473553,281,40628
Contextual,2,0.6241476348026377,,0.44755059095334915,281,40628
Contextual,3,0.6239459524609537,0.6237969571674882,0.450630396371277,281,40628
Contextual,4,0.6206064344944513,0.6215647431412237,0.39826034636982294,281,40628
Contextual,5,0.6189232081235633,0.6245369408472043,0.4156210134342776,281,40628
Contextual,6,0.6173837214802337,0.612636149814461,0.417138777071858,281,40628
Contextual,7,0.6120308838074964,0.6124011822220322,0.4778309280943984,281,40628
Contextual,8,0.6143213032261817,0.6150942655819646,0.5046263870752321,281,40628
Contextual,9,0.608258307210251,0.6064709330416378,0.5337936829499281,281,40628
Contextual,10,0.6114783486451326,0.6117770837705672,0.555795014710329,281,40628
Contextual,11,0.6124028902809521,0.6068725020733208,0.5167003052082307,281,40628
Contextual,12,0.6124676651307567,0.6124094159419533,0.5672656376735782,281,40628
Contextual,13,0.6080508437460692,0.6082033427501395,0.5871780133750648,281,40628
Contextual,14,0.6118028798398945,0.6105499967240307,0.5499075983920771,281,40628
Contextual,15,0.6094693209843886,0.6087677029357942,0.5570557373786709,281,40628
Contextual,16,0.6123646560389782,0.6122606396304006,0.5568232223836654,281,40628
Contextual,17,0.6081083921927518,0.6096005787429177,0.5349653237761451,281,40628
Contextual,18,0.6103643438583631,0.599741837843368,0.5413495224617632,281,40628
Contextual,19,0.6080215001697548,0.6083096803669927,0.5311458412531791,281,40628
Contextual,20,0.6102524878973077,0.6055102155938247,0.5567908568569544,281,40628
Contextual,21,0.6089873417943273,0.6063009154845439,0.510649440790269,281,40628
Contextual,22,0.6099307596710295,0.6051616401850379,0.5100264810447505,281,40628
Contextual,23,0.6117632441136786,0.6061285767191744,0.5208053839418637,281,40628
Contextual,24,0.6080299966679712,0.6003938345905231,0.5149454279554763,281,40628
Contextual,25,0.6080161132147,0.6110246619182044,0.49440746472551755,281,40628
Contextual,26,0.6033866165963063,0.6025654782197085,0.4841789071716401,281,40628
Contextual,27,0.6054619081838621,0.6055020256702861,0.4939230767344156,281,40628
Contextual,28,0.6088054554175599,0.608971093336398,0.5061462091427926,281,40628
Contextual,29,0.6030750491307819,0.6043670424162709,0.4891467308453017,281,40628
Contextual,30,0.6078935271399175,0.608872682864788,0.5266676173401441,281,40628
Contextual,31,0.611747915379783,0.6118876696365285,0.5773603534823555,281,40628
Fabrication,0,0.5989170779023921,,0.4986950457728792,1414,40628
Fabrication,1,0.641110571802057,,0.5330623305336765,1414,40628
Fabrication,2,0.6229551852743609,,0.43760556504742587,1414,40628
Fabrication,3,0.6062350708445997,0.59833288864126,0.4027187495082509,1414,40628
Fabrication,4,0.6393225371567381,0.6198810830498653,0.41458691889526794,1414,40628
Fabrication,5,0.650245286206,0.6203230828329038,0.4377705751664915,1414,40628
Fabrication,6,0.6473961004590029,0.6643991142458034,0.5227907878834129,1414,40628
Fabrication,7,0.6656948340335376,0.6650627840917399,0.5568607515472429,1414,40628
Fabrication,8,0.6547757839821451,0.6577969948888727,0.5961520204222281,1414,40628
Fabrication,9,0.6688085024799474,0.6668955200383679,0.6656894204413619,1414,40628
Fabrication,10,0.6621869568565599,0.6643798881604078,0.6898404386353487,1414,40628
Fabrication,11,0.6651198792117922,0.677154616648742,0.6547541122063936,1414,40628
Fabrication,12,0.6547013862555893,0.6585751160806457,0.6620362379245562,1414,40628
Fabrication,13,0.6545856554916661,0.6651779317195282,0.6545242608305614,1414,40628
Fabrication,14,0.6451629675759599,0.6442417691466049,0.678194713924901,1414,40628
Fabrication,15,0.6635172470432039,0.660082235772488,0.7038313715125152,1414,40628
Fabrication,16,0.660368477282896,0.6463663429698292,0.6366963531118721,1414,40628
Fabrication,17,0.6764076540743147,0.6599705173333125,0.6090579197267678,1414,40628
Fabrication,18,0.661589677494733,0.6012441392207407,0.5505045589757079,1414,40628
Fabrication,19,0.6787393369641188,0.6704155734459787,0.5797552332203361,1414,40628
Fabrication,20,0.6682824701688441,0.668407531110922,0.5096762128779018,1414,40628
Fabrication,21,0.6650084392853974,0.656776637206049,0.4654883498800097,1414,40628
Fabrication,22,0.6593438113554952,0.6475878391014955,0.5344107501616419,1414,40628
Fabrication,23,0.6605281956591277,0.6711025426267292,0.5016413628521602,1414,40628
Fabrication,24,0.6625558035170316,0.6601365805788304,0.5111467168426008,1414,40628
Fabrication,25,0.6733585222613178,0.6544811609777413,0.623421041417775,1414,40628
Fabrication,26,0.6786596126806311,0.6788819703219566,0.5706240959649208,1414,40628
Fabrication,27,0.6677511374113825,0.669169481154363,0.5471929288668611,1414,40628
Fabrication,28,0.6686833893167232,0.6692278208784042,0.5818319463628947,1414,40628
Fabrication,29,0.683543003557026,0.672738866138263,0.5933195193315026,1414,40628
Fabrication,30,0.6813244055597278,0.671874823753631,0.6276367153093879,1414,40628
Fabrication,31,0.66711387405847,0.6629647821285033,0.6883289323672097,1414,40628
Negation,0,0.5145976820632489,,0.49493015624839276,67,40628
Negation,1,0.5116058478896255,,0.5413239747898295,67,40628
Negation,2,0.5106312241098339,,0.5345078535647058,67,40628
Negation,3,0.5087661035180502,0.5101057060860902,0.49682338039055485,67,40628
Negation,4,0.5035215769140906,0.5080343091081954,0.4980492829737304,67,40628
Negation,5,0.5041512433892368,0.506530493637944,0.529727678433666,67,40628
Negation,6,0.49660589932095944,0.4880040087051206,0.555262601044203,67,40628
Negation,7,0.49430655132332824,0.4942591610226901,0.5437834946562843,67,40628
Negation,8,0.4942641204727568,0.494675938511636,0.5649561217247424,67,40628
Negation,9,0.48610288617951886,0.4863199998824427,0.59637772788122,67,40628
Negation,10,0.4982891734102942,0.49891057413532913,0.5961986366288083,67,40628
Negation,11,0.4869845661913922,0.48145900408364795,0.57528886041389,67,40628
Negation,12,0.4850434006985844,0.4872591727784235,0.6434388679816434,67,40628
Negation,13,0.4984625704792959,0.49325110687578155,0.6096916471105142,67,40628
Negation,14,0.5041846737563536,0.5067389742240849,0.656163347386333,67,40628
Negation,15,0.49341844239470173,0.4879136365039036,0.617059553076402,67,40628
Negation,16,0.4997797636803675,0.5024001901489892,0.5900164065955543,67,40628
Negation,17,0.49184023517344855,0.49462211929424454,0.6017333829033429,67,40628
Negation,18,0.4908819592105437,0.5006447285086824,0.5231062615444977,67,40628
